student_id,attendance_date,status
101,3/1/2024,Absent
101,3/2/2024,Present
101,3/3/2024,Present
101,3/4/2024,Present
101,3/5/2024,Present
101,3/6/2024,Present
101,3/8/2024,Present
101,3/9/2024,Absent
101,3/10/2024,Present
101,3/11/2024,Absent
101,3/12/2024,Present
101,3/13/2024,Absent
101,3/14/2024,Absent
101,3/16/2024,Present
101,3/18/2024,Present
101,3/20/2024,Present
101,3/22/2024,Absent
101,3/24/2024,Present
101,3/26/2024,Present
101,3/28/2024,Absent
101,3/30/2024,Present
101,4/1/2024,Present
101,4/3/2024,Present
101,4/5/2024,Present
101,4/7/2024,Present
101,4/9/2024,Present
101,4/11/2024,Present
101,4/13/2024,Present
101,4/15/2024,Present
101,4/17/2024,Absent
107,3/2/2024,Absent
107,3/3/2024,Present
107,3/4/2024,Present
107,3/6/2024,Present
107,3/7/2024,Absent
107,3/8/2024,Present
107,3/10/2024,Present
107,3/12/2024,Present
107,3/13/2024,Absent
107,3/14/2024,Present
107,3/15/2024,Present
107,3/16/2024,Present
107,3/20/2024,Absent
107,3/21/2024,Present
107,3/22/2024,Absent
107,3/23/2024,Absent
107,3/24/2024,Absent
107,3/25/2024,Absent
107,3/25/2024,Present
107,3/26/2024,Absent
107,3/28/2024,Absent
107,3/29/2024,Present
107,3/30/2024,Present
108,11/2/2024,Absent
108,11/3/2024,Absent
108,11/4/2024,Absent
108,11/5/2024,Absent
108,11/6/2024,Present
108,11/7/2024,Present
108,11/9/2024,Absent
108,3/12/2024,Present
108,3/12/2024,Absent
108,3/12/2024,Present
108,3/13/2024,Absent
108,3/14/2024,Present
108,3/20/2024,Absent
108,3/21/2024,Absent
108,3/20/2024,Present
108,3/20/2024,Present
